year,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,cash_and_equivalents,inventory,operating_cash_flow,capex
2015,18797998000000.0,5336100000000.0,4323595000000.0,29677906000000.0,8290203000000.0,21387703000000.0,9760030000000.0,4840698000000.0,1175719000000.0,1923376000000.0,9319520000000.0,6774625000000.0
2016,17197975000000.0,3276746000000.0,2960483000000.0,32216026000000.0,8192496000000.0,24023530000000.0,9838982000000.0,4160849000000.0,613786000000.0,2026198000000.0,5548922000000.0,5956354000000.0
2017,30109434000000.0,13721326000000.0,10642219000000.0,45418464000000.0,11597545000000.0,33820919000000.0,17310444000000.0,8116133000000.0,2949991000000.0,2640439000000.0,14690614000000.0,9128303000000.0
2018,40445066000000.0,20843750000000.0,15539984000000.0,63658335000000.0,16806004000000.0,46852331000000.0,19894146000000.0,13031852000000.0,2349319000000.0,4422733000000.0,22227199000000.0,16036146000000.0
2019,26990733000000.0,2712718000000.0,2016391000000.0,64789494000000.0,16846299000000.0,47943195000000.0,14457602000000.0,7874033000000.0,2306070000000.0,5295835000000.0,6483188000000.0,13920244000000.0
2020,31900418000000.0,5012624000000.0,4758914000000.0,71173853000000.0,19264756000000.0,51909097000000.0,16570953000000.0,9072360000000.0,2975989000000.0,6136318000000.0,12314571000000.0,10068662000000.0
2021,42997792000000.0,12410340000000.0,9616188000000.0,96386474000000.0,34195416000000.0,62191058000000.0,26870451000000.0,14769356000000.0,5057982000000.0,8916605000000.0,19797648000000.0,12486635000000.0
2022,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,28733332000000.0,19843696000000.0,4977007000000.0,15664707000000.0,14780517000000.0,19010261000000.0
2023,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,30468100000000.0,21007810000000.0,7587329000000.0,13480659000000.0,4278191000000.0,8325138000000.0
2024,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,42278887000000.0,24965444000000.0,11205117000000.0,13313937000000.0,29795885000000.0,15945534000000.0
2025,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,69458073000000.0,37378999000000.0,14923766000000.0,14289390000000.0,53373126000000.0,27518924000000.0
